code,name,price,sma20,upper_3sigma,lower_3sigma,touch_direction,market,volume
14180,インターライフホールディングス,502.0,422.45,498.7894600314592,346.11053996854076,upper,スタンダード,1708200
27360,フェスタリアホールディングス,564.0,590.45,616.7564430772389,564.1435569227611,lower,スタンダード,17600
28840,ヨシムラ・フード・ホールディングス,681.0,883.4,1071.8576177399332,694.9423822600669,lower,プライム,1421700
30860,Ｊ．フロント　リテイリング,2291.5,2473.025,2646.861907458485,2299.1880925415153,lower,プライム,4515600
30940,スーパーバリュー,793.0,659.1,776.008466219026,542.191533780974,upper,スタンダード,452600
31130,ＵＮＩＶＡ・Ｏａｋホールディングス,86.0,75.45,84.55335392213148,66.34664607786853,upper,スタンダード,20957400
373A0,リップス,2075.0,3294.5,4372.885855170393,2216.1141448296066,lower,グロース,578800
40680,ベイシス,1581.0,1864.6,2136.720445468751,1592.4795545312486,lower,グロース,53400
47500,ダイサン,586.0,612.8,636.2731649694565,589.3268350305434,lower,スタンダード,97300
66340,ネクスグループ,127.0,143.0,158.99341969949594,127.00658030050406,lower,スタンダード,4730400
69570,芝浦電子,7060.0,7112.0,7157.236222095216,7066.763777904784,lower,スタンダード,39800
78370,アールシーコア,621.0,416.55,586.6305614067082,246.46943859329184,upper,スタンダード,272800
87690,アドバンテッジリスクマネジメント,627.0,581.65,626.6371034151377,536.6628965848622,upper,スタンダード,116800
93530,櫻島埠頭,2647.0,1965.65,2546.8626592420014,1384.4373407579988,upper,スタンダード,477500
99780,文教堂グループホールディングス,46.0,54.45,62.793134587003024,46.10686541299698,lower,スタンダード,2156000
